# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr         Npt   order   minmax   Imean_ogle   Vmean_ogle   VmI
  smc0218   504   0.353223   0.309    0.148   0.039   0.017   0.011    -2.781   0.23     9.7624    6.4796   19.157    0.9345   0.0018541666   1      0.988   0.988    94.6        504   4       0.615    19.146       19.615       0.45800018  
  smc0227   503   0.347859   0.346    0.173   0.034   0.013   -0.016   -3.064   0.292    9.5348    6.6233   19.025    0.6568   0.0013057654   1      0.976   0.983    132.4       503   4       0.651    19.01        19.424       0.39900017  
  smc0232   496   0.33834    0.376    0.182   0.037   0.022   -0.024   -2.957   -0.279   9.6569    6.0754   19.023    0.7097   0.0014308468   1      0.987   0.981    137.2       496   3       0.631    19.011       19.362       0.3389988   
  smc0242   497   0.387326   0.274    0.142   0.016   0.009   0.0      -3.081   -0.081   9.4856    6.2021   19.282    0.8258   0.0016615695   1      0.99    0.983    89.6        497   4       0.562    19.274       19.721       0.43900108  
  smc0245   504   0.308558   0.378    0.174   0.048   0.015   -0.031   3.054    -0.59    9.3999    5.7871   19.098    0.7694   0.0015265873   1      0.99    0.986    130.7       504   5       0.698    19.079       19.477       0.3789997   
  smc0247   484   0.393476   0.31     0.144   0.034   0.013   0.024    -2.892   -0.442   9.6249    5.7674   18.921    0.5717   0.0011811983   1      0.986   0.985    124.4       484   4       0.604    18.91        19.4         0.4790001   
  smc0271   503   0.414943   0.282    0.137   0.028   0.01    -0.035   -2.733   -0.581   9.9038    5.8082   18.991    0.6887   0.0013691849   1      0.983   0.986    106.1       503   4       0.607    18.981       19.436       0.4450016   
  smc0291   504   0.355828   0.311    0.148   0.034   0.014   -0.025   2.898    -0.228   9.2312    6.1297   18.862    0.5054   0.0010027778   1      0.988   0.987    143.0       504   3       0.617    18.851       19.178       0.31599998  
  smc0295   375   0.367449   0.298    0.147   0.015   0.013   0.011    -2.834   0.762    9.7093    7.0108   19.166    0.6792   0.0018111999   1      0.987   0.979    79.0        375   3       0.609    19.149       19.577       0.4109993   
  smc0320   501   0.295829   0.338    0.165   0.035   0.023   -0.026   2.573    -0.989   8.9093    5.3727   19.484    1.1598   0.0023149701   1      0.987   0.99     83.7        501   4       0.774    19.46        19.797       0.31300163  
  smc0336   378   0.296881   0.335    0.167   0.038   0.012   -0.026   -3.048   0.003    9.5704    6.3637   19.318    0.6104   0.0016148149   1      0.983   0.982    97.5        378   5       0.639    19.303       19.668       0.34999847  
  smc0348   498   0.349798   0.244    0.121   0.021   0.003   0.056    -3.088   1.903    9.3664    8.0178   19.336    1.0593   0.0021271084   1      0.986   0.985    66.1        498   3       0.695    19.321       19.788       0.45199966  
  smc0366   486   0.363396   0.107    0.039   0.005   0.007   -0.024   -2.134   -3.117   10.4804   9.5218   19.04     0.8422   0.0017329218   1      0.985   0.989    34.3        486   3       0.422    19.031       19.438       0.3979988   
  smc0409   484   0.36127    0.278    0.139   0.021   0.012   0.007    3.054    0.191    9.3235    6.4541   19.205    0.7903   0.0016328513   1      0.989   0.986    90.4        484   3       0.622    19.195       19.661       0.45599937  
  smc0419   497   0.293465   0.192    0.077   0.015   0.007   0.014    2.088    2.001    8.3426    8.2417   19.195    0.9559   0.00192334     1      0.989   0.988    58.0        497   3       0.511    19.185       19.612       0.41699982  
  smc0434   506   0.312236   0.327    0.16    0.034   0.01    0.031    -3.093   -0.638   9.4117    5.5538   19.325    0.9061   0.0017907114   1      0.986   0.986    100.1       506   5       0.699    19.31        19.625       0.29999924  
  smc0438   499   0.266869   0.278    0.127   0.024   0.02    0.017    3.123    0.769    9.3716    7.0009   19.793    1.5193   0.0030446893   1      0.988   0.991    59.4        499   3       0.921    19.772       20.204       0.4110012   
  smc0441   498   0.352681   0.329    0.154   0.022   0.011   -0.019   -3.103   1.129    9.5017    7.4701   19.353    0.8382   0.0016831325   1      0.986   0.986    105.7       498   3       0.6      19.335       19.795       0.44199944  
  smc0451   507   0.31297    0.204    0.084   0.029   0.009   0.021    1.883    -1.979   8.1242    4.242    19.168    1.1797   0.0023268245   1      0.986   0.989    54.0        507   4       0.68     19.148       19.517       0.34900093  
  smc0456   483   0.276053   0.137    0.064   0.005   0.002   -0.157   2.754    0.943    9.3508    7.6965   19.231    0.8411   0.0017414078   1      0.987   0.979    43.0        483   3       0.472    19.218       19.573       0.34199905  
  smc0462   500   0.271346   0.292    0.129   0.026   0.001   -0.016   -2.601   -0.287   9.9987    6.0461   19.555    1.1834   0.0023668      1      0.99    0.988    75.0        500   3       0.745    19.543       19.934       0.3789997   
  smc0472   168   0.369825   0.274    0.127   0.015   0.018   0.024    2.63     1.205    8.8649    7.4151   19.267    0.3018   0.0017964287   1      0.965   0.971    49.0        168   5       0.5      19.247       19.747       0.47999954  
  smc0476   494   0.245295   0.197    0.094   0.009   0.003   -0.013   2.475    1.015    8.7855    7.3386   19.373    0.9312   0.0018850203   1      0.986   0.987    56.9        494   4       0.556    19.366       19.72        0.34700012  
  smc0488   504   0.295602   0.292    0.13    0.034   0.009   -0.017   2.802    -0.107   9.1186    6.2268   19.236    0.8455   0.0016775794   1      0.987   0.987    94.4        504   3       0.647    19.225       19.571       0.33499908  
  smc0497   435   0.345951   0.299    0.137   0.027   0.021   0.016    2.957    0.308    9.2081    6.5424   19.232    0.6924   0.0015917241   1      0.985   0.988    94.8        435   4       0.604    19.221       19.749       0.5170002   
  smc0502   498   0.345092   0.271    0.126   0.011   0.009   0.018    2.636    -2.82    8.8827    9.6925   19.494    1.2966   0.0026036145   1      0.987   0.985    65.4        498   3       0.695    19.469       19.893       0.39900017  
  smc0503   498   0.363769   0.24     0.125   0.011   0.005   -0.014   -3.12    0.577    9.4749    6.9036   19.165    0.7445   0.0014949798   1      0.98    0.988    82.4        498   3       0.602    19.157       19.626       0.46099854  
  smc0506   485   0.395988   0.306    0.15    0.025   0.01    0.027    -2.858   0.23     9.654     6.4319   19.057    0.7353   0.0015160824   1      0.986   0.989    105.2       485   3       0.539    19.046       19.536       0.4790001   
  smc0510   506   0.281008   0.157    0.071   0.01    0.003   0.045    2.408    -0.535   8.6019    5.6134   19.054    0.9224   0.0018229249   1      0.988   0.987    50.0        506   3       0.493    19.035       19.35        0.29599953  
  smc0525   480   0.36757    0.254    0.132   0.021   0.012   0.025    -2.853   0.222    9.6625    6.4287   19.39     0.8208   0.00171        1      0.98    0.984    76.6        480   3       0.65     19.379       19.844       0.45400047  
  smc0527   506   0.359137   0.176    0.092   0.015   0.013   0.036    -3.015   0.167    9.4793    6.3423   18.861    0.4987   9.855732E-4    1      0.989   0.989    80.5        506   3       0.466    18.858       19.324       0.46299934  
  smc0528   472   0.363237   0.303    0.154   0.019   0.015   0.017    -2.776   0.858    9.7553    7.0892   19.236    0.7499   0.0015887711   1      0.987   0.988    99.8        472   3       0.601    19.22        19.607       0.3710003   
  smc0530   500   0.351434   0.323    0.165   0.026   0.016   -0.017   2.991    -0.687   9.309     5.648    19.132    0.8862   0.0017724      1      0.987   0.99     97.2        500   3       0.732    19.111       19.533       0.40100098  
  smc0535   505   0.309799   0.227    0.112   0.006   0.011   -0.005   1.965    0.896    8.2571    7.1928   19.43     0.9466   0.0018744555   1      0.988   0.991    67.7        505   3       0.582    19.415       19.852       0.42199898  
  smc0546   505   0.342006   0.321    0.152   0.026   0.015   -0.014   3.083    -0.325   9.3951    6.0009   19.141    0.6796   0.0013457426   1      0.988   0.983    121.8       505   4       0.63     19.132       19.589       0.44799995  
  smc0551   502   0.343159   0.287    0.144   0.01    0.008   -0.059   -2.269   0.784    10.4153   7.2435   19.511    1.2828   0.0025553785   1      0.986   0.989    68.2        502   3       0.79     19.489       19.925       0.41399956  
  smc0554   505   0.311808   0.362    0.175   0.048   0.014   0.011    2.99     -0.772   9.2517    5.4794   19.354    0.9727   0.0019261386   1      0.987   0.984    107.0       505   4       0.773    19.339       19.755       0.40099907  
  smc0572   101   0.320212   0.267    0.121   0.028   0.006   0.032    -2.249   1.479    10.2528   7.6651   19.483    0.2334   0.0023108912   1      0.953   0.952    31.4        101   3       0.552    19.469       ""           ""          
  smc0580   312   0.376101   0.292    0.151   0.02    0.015   -0.002   -2.836   0.177    9.7345    6.4659   19.35     0.5993   0.0019208334   1      0.976   0.984    69.7        312   4       0.604    19.334       19.849       0.49900055  
  smc0583   115   0.284369   0.278    0.105   0.029   0.026   -0.059   2.752    -0.796   9.154     5.6661   19.136    0.128    0.0011130435   1      0.957   0.952    60.8        115   3       0.392    19.125       19.501       0.36499977  
  smc0586   482   0.351312   0.297    0.145   0.026   0.016   -0.047   -2.972   0.466    9.6881    6.8903   19.158    0.6482   0.0013448133   1      0.988   0.988    109.8       482   3       0.565    19.143       19.603       0.4449997   
  smc0595   499   0.251081   0.22     0.099   0.016   0.008   -0.018   2.889    -0.566   9.2076    5.7708   19.507    1.1612   0.0023270543   1      0.989   0.986    55.6        499   4       0.653    19.488       19.809       0.30200005  
  smc0615   486   0.310273   0.158    0.069   0.011   0.007   -0.049   2.567    2.035    8.948     8.466    19.122    0.6305   0.0012973251   1      0.982   0.988    58.5        486   3       0.444    19.112       19.527       0.4050007   
  smc0618   503   0.352219   0.283    0.144   0.015   0.012   -0.02    3.044    0.083    9.3661    6.4254   19.19     0.8045   0.0015994036   1      0.985   0.984    95.2        503   4       0.575    19.176       19.606       0.41600037  
  smc0624   425   0.253576   0.252    0.112   0.013   0.002   -0.007   2.856    -3.136   9.1525    9.4504   19.632    1.097    0.0025811766   1      0.988   0.982    53.6        425   3       0.749    19.614       20.01        0.37800026  
  smc0639   502   0.36898    0.274    0.134   0.016   0.016   -0.006   -3.071   -0.055   9.5072    6.2461   19.38     0.8763   0.0017456175   1      0.983   0.98     85.4        502   4       0.867    19.368       19.869       0.48900032  
  smc0647   503   0.310535   0.275    0.128   0.029   0.009   -0.041   2.282    -0.307   8.6479    6.0997   19.082    0.5959   0.0011846918   1      0.988   0.986    113.7       503   3       0.492    19.074       19.418       0.33599854  
  smc0665   506   0.337576   0.351    0.155   0.047   0.002   0.015    2.883    0.712    9.1356    6.9502   19.154    0.7914   0.0015640317   1      0.978   0.983    119.5       506   3       0.657    19.141       19.524       0.37000084  
  smc0675   500   0.311404   0.324    0.146   0.033   0.013   -0.022   -3.016   -0.138   9.5949    6.2123   19.252    0.965    0.0019299999   1      0.986   0.985    95.7        500   3       0.669    19.242       19.653       0.40099907  
  smc0681   261   0.264848   0.294    0.156   0.024   0.019   0.011    -2.591   0.214    9.9529    6.4636   19.56     0.6      0.0022988506   1      0.982   0.982    55.2        261   3       0.667    19.538       19.889       0.32900047  
  smc0699   483   0.370237   0.27     0.13    0.013   0.006   -0.009   3.136    0.781    9.4371    7.091    19.097    0.6167   0.0012768116   1      0.983   0.987    103.2       483   3       0.556    19.086       19.581       0.48399925  
  smc0702   501   0.346194   0.279    0.142   0.015   0.012   0.018    -2.938   -0.415   9.5927    5.8153   19.154    0.8551   0.0017067863   1      0.989   0.988    90.1        501   3       0.581    19.141       19.521       0.36700058  
  smc0710   502   0.344127   0.327    0.153   0.03    0.016   0.012    -3.022   -1.135   9.5202    5.1114   19.212    0.7581   0.0015101593   1      0.986   0.987    112.0       502   3       0.586    19.199       19.639       0.42700005  
  smc0712   506   0.320746   0.221    0.114   0.011   0.011   -0.003   -3.079   0.253    9.4928    6.5439   19.285    0.9227   0.0018235177   1      0.988   0.987    66.3        506   3       0.58     19.274       19.676       0.39100075  
  smc0718   480   0.380135   0.5      0.239   0.037   0.007   -0.113   3.113    -1.684   9.6215    4.9366   19.493    7.3581   0.015329375    1      0.986   0.986    25.8        480   3       2.557    19.225       ""           ""          
  smc0722   476   0.361042   0.419    0.191   0.052   0.021   0.012    2.985    -0.827   9.2452    5.4208   19.177    0.6775   0.0014233193   1      0.984   0.986    147.2       476   4       0.708    19.163       19.606       0.42900085  
  smc0723   486   0.333321   0.357    0.171   0.043   0.023   0.005    3.011    -0.245   9.2848    6.024    19.053    0.6045   0.0012438272   1      0.971   0.977    138.9       486   4       0.587    19.04        19.461       0.40800095  
  smc0725   494   0.356773   0.279    0.127   0.035   0.005   0.036    -2.762   1.382    9.7326    7.557    19.623    1.6978   0.0034368422   1      0.982   0.988    52.4        494   3       0.85     19.596       20.138       0.5150013   
  smc0752   518   0.254762   0.389    0.159   0.042   0.022   -0.005   2.653    0.676    8.9455    6.9728   20.26     2.643    0.0051023164   1      0.989   0.988    55.5        518   5       1.167    20.221       20.818       0.55800056  
  smc0759   527   0.30158    0.29     0.129   0.014   0.004   0.037    -1.752   -2.943   10.7391   9.5107   19.558    1.2904   0.002448577    1      0.984   0.99     72.2        527   3       0.825    19.535       19.952       0.3939991   
  smc0764   505   0.358846   0.257    0.13    0.013   0.008   -0.041   2.663    0.877    9.0279    7.283    19.254    0.947    0.0018752476   1      0.989   0.986    77.5        505   3       0.637    19.245       19.664       0.40999985  
  smc0798   500   0.342489   0.289    0.147   0.026   0.02    0.11     2.656    -0.058   8.7198    5.8964   19.959    1.8432   0.0036864      1      0.986   0.99     51.1        500   3       0.957    19.928       20.657       0.69799995  
  smc0808   331   0.319941   0.324    0.148   0.043   0.019   0.0      3.1      -0.094   9.3819    6.1883   19.285    0.5338   0.0016126889   1      0.983   0.975    86.1        331   5       0.61     19.269       19.641       0.3560009   
  smc0815   492   0.244236   0.253    0.111   0.032   0.007   0.068    2.699    1.358    8.8463    7.4371   19.881    1.6791   0.003412805    1      0.99    0.985    48.5        492   3       0.995    19.853       20.517       0.6359997   
  smc0818   494   0.376869   0.307    0.144   0.026   0.011   0.005    -2.912   1.065    9.6433    7.3315   19.238    0.7167   0.0014508098   1      0.983   0.984    110.9       494   3       0.634    19.224       19.752       0.51399994  
  smc0839   481   0.371087   0.318    0.151   0.029   0.016   -0.015   -2.923   0.462    9.6732    6.7891   19.006    0.618    0.0012848232   1      0.987   0.985    120.0       481   3       0.638    18.996       19.429       0.42300034  
  smc0842   521   0.361356   0.314    0.139   0.017   0.013   0.028    -2.882   -1.148   9.6285    5.0522   19.841    1.7377   0.0033353167   1      0.988   0.987    61.8        521   5       0.84     19.808       20.525       0.684       
  smc0844   524   0.357263   0.192    0.07    0.035   0.007   -0.016   2.852    0.803    9.1663    7.1336   18.868    0.5939   0.001133397    1      0.99    0.991    81.7        524   4       0.47     18.86        19.591       0.7229996   
  smc0850   506   0.336091   0.291    0.151   0.014   0.011   -0.033   3.058    -0.271   9.4078    6.1119   19.17     0.7761   0.0015337944   1      0.988   0.986    101.5       506   3       0.584    19.161       19.612       0.44199944  
  smc0852   439   0.36697    0.295    0.14    0.013   0.008   0.016    3.097    0.292    9.3477    6.5265   19.13     0.6013   0.0013697039   1      0.982   0.982    101.5       439   4       0.651    19.12        19.542       0.41200066  
  smc0853   524   0.308198   0.346    0.163   0.046   0.01    -0.029   2.868    -0.839   9.2089    5.5297   19.191    0.7616   0.0014534352   1      0.989   0.989    123.0       524   5       0.638    19.181       19.627       0.43600082  
  smc0858   526   0.302179   0.272    0.128   0.02    0.017   -0.034   2.563    0.676    8.9139    7.0613   19.577    1.3121   0.0024944867   1      0.99    0.99     67.8        526   3       0.785    19.559       19.946       0.36899948  
  smc0861   505   0.304222   0.368    0.171   0.05    0.008   0.004    3.109    -0.309   9.3848    5.9635   19.216    0.7186   0.0014229702   1      0.984   0.983    130.7       505   5       0.655    19.2         19.577       0.36100006  
  smc0874   494   0.335419   0.365    0.178   0.04    0.011   0.033    3.091    -0.453   9.3087    5.7319   19.143    0.7393   0.0014965588   1      0.984   0.988    126.9       494   5       0.61     19.123       19.545       0.40200043  
  smc0883   466   0.373729   0.304    0.144   0.026   0.009   0.024    -2.931   0.477    9.5877    6.689    18.851    0.4825   0.0010354077   1      0.986   0.981    131.6       466   3       0.504    18.837       19.32        0.46899986  
  smc0894   514   0.329912   0.361    0.162   0.051   0.008   -0.016   2.974    -1.165   9.2896    5.166    19.149    0.8028   0.0015618677   1      0.987   0.989    123.2       514   3       0.725    19.141       19.594       0.4449997   
  smc0898   523   0.36217    0.234    0.109   0.018   0.007   0.002    -3.012   0.154    9.5502    6.4301   18.914    0.5775   0.0011042064   1      0.986   0.987    103.7       523   3       0.482    18.907       19.468       0.55400085  
  smc0899   487   0.35936    0.308    0.147   0.02    0.01    0.005    -3.044   -0.2     9.5122    6.0689   19.195    0.7993   0.0016412731   1      0.986   0.987    101.6       487   3       0.565    19.177       19.66        0.46500015  
  smc0915   91    0.297781   0.276    0.115   0.008   0.012   -0.112   1.428    1.458    7.9353    8.0775   19.228    0.1796   0.0019736264   1      0.948   0.954    35.9        91    3       0.515    19.213       19.642       0.41399956  
  smc0940   505   0.326195   0.319    0.15    0.02    0.01    0.0      -3.118   0.835    9.4479    7.1171   19.348    0.932    0.0018455446   1      0.988   0.985    97.7        505   3       0.622    19.338       19.725       0.3770008   
  smc0951   526   0.405911   0.251    0.129   0.022   0.007   -0.013   -2.75    0.29     9.843     6.6128   19.095    0.7577   0.0014404943   1      0.987   0.981    91.2        526   3       0.676    19.085       19.583       0.48800087  
  smc0964   523   0.382527   0.299    0.145   0.023   0.009   0.002    -2.838   -0.508   9.7233    5.7677   19.021    0.6195   0.0011845124   1      0.989   0.987    125.5       523   5       0.531    19.011       19.519       0.4979992   
  smc0970   524   0.354175   0.33     0.151   0.026   0.006   -0.007   -3.044   0.095    9.5367    6.4006   19.406    1.1632   0.0022198474   1      0.983   0.99     88.2        524   3       0.698    19.387       19.82        0.41399956  
  smc0974   521   0.355639   0.329    0.159   0.03    0.004   -0.034   -3.14    -0.787   9.4949    5.5989   19.354    1.0406   0.0019973128   1      0.988   0.986    90.7        521   3       1.015    19.334       19.83        0.47599983  
  smc0976   427   0.372189   0.279    0.142   0.016   0.008   0.049    -2.702   0.569    9.7675    6.7065   19.384    0.8699   0.0020372365   1      0.986   0.984    72.6        427   3       0.64     19.368       19.988       0.6040001   
  smc0982   495   0.336      0.311    0.161   0.027   0.018   0.001    3.103    0.021    9.3844    6.3013   19.165    0.7259   0.0014664646   1      0.981   0.983    110.6       495   5       0.621    19.151       19.591       0.4259987   
  smc0992   494   0.363933   0.288    0.137   0.019   0.012   0.006    -2.57    0.748    9.9837    7.0124   19.123    0.6637   0.0013435222   1      0.987   0.986    111.3       494   3       0.538    19.11        19.585       0.4619999   
  smc0993   527   0.310885   0.27     0.111   0.053   0.009   -0.013   2.425    -0.657   8.7345    5.6656   19.134    0.815    0.0015464895   1      0.984   0.985    93.8        527   4       0.63     19.125       19.704       0.5699997   
  smc1011   504   0.242922   0.266    0.12    0.042   0.014   -0.029   2.87     -0.187   9.2124    6.1842   19.57     1.198    0.002376984    1      0.988   0.986    67.5        504   3       0.691    19.555       19.992       0.42200089  
  smc1030   503   0.354306   0.264    0.12    0.022   0.008   0.029    -2.639   2.473    9.8705    8.6705   19.117    0.7797   0.0015500993   1      0.985   0.985    91.1        503   4       0.556    19.107       19.569       0.45199966  
  smc1047   524   0.25251    0.202    0.101   0.012   0.008   -0.003   2.644    0.402    8.9337    6.6958   18.756    0.6141   0.0011719465   1      0.981   0.986    84.6        524   3       0.482    18.75        19.597       0.8409996   
  smc1051   501   0.456327   0.33     0.151   0.048   0.017   -0.017   2.979    -0.487   9.2974    5.8481   18.707    0.4589   9.159681E-4    1      0.988   0.989    159.1       501   4       0.571    18.7         19.191       0.48399925  
  smc1057   485   0.380515   0.266    0.128   0.018   0.002   -0.009   -2.612   -0.27    9.9716    6.0389   19.09     0.6337   0.001306598    1      0.987   0.988    101.0       485   3       0.57     19.082       19.595       0.50499916  
  smc1063   504   0.293867   0.274    0.114   0.028   0.024   -0.013   2.61     -0.872   8.9192    5.4508   19.344    1.0965   0.0021755954   1      0.986   0.988    74.4        504   5       0.701    19.329       19.709       0.36499977  
  smc1075   503   0.378216   0.308    0.151   0.028   0.008   -0.016   -2.696   1.085    9.9032    7.4167   19.4      1.2698   0.0025244532   1      0.99    0.989    76.2        503   3       0.829    19.383       19.988       0.58800125  
  smc1085   504   0.240648   0.266    0.131   0.024   0.021   -0.034   2.884    -0.401   9.2355    5.9838   19.625    1.3328   0.0026444446   1      0.981   0.987    63.4        504   3       0.757    19.614       20.005       0.37999916  
  smc1089   525   0.39377    0.318    0.153   0.028   0.006   -0.012   -2.893   -0.242   9.6975    6.0776   19.107    0.6786   0.0012925714   1      0.989   0.985    124.9       525   3       0.597    19.098       19.596       0.48900032  
  smc1093   491   0.306979   0.244    0.113   0.024   0.007   0.006    -2.566   1.735    9.9897    8.0013   19.314    0.7116   0.0014492872   1      0.984   0.985    87.2        491   3       0.519    19.307       19.734       0.42000008  
  smc1094   497   0.253108   0.21     0.102   0.018   0.002   0.018    2.804    -0.014   9.0524    6.2168   19.691    1.3086   0.002632998    1      0.987   0.986    48.7        497   3       0.714    19.676       20.034       0.3430004   
  smc1099   484   0.366474   0.318    0.154   0.021   0.003   0.031    -2.883   -2.955   9.6215    9.5184   19.266    0.766    0.0015826445   1      0.988   0.986    106.8       484   3       0.715    19.258       19.728       0.4619999   
  smc1102   505   0.332798   0.319    0.143   0.015   0.003   0.028    -3.14    2.11     9.3717    8.3109   19.282    0.909    0.0018         1      0.969   0.972    99.0        505   3       0.673    19.277       19.716       0.43400002  
  smc1107   524   0.251484   0.208    0.093   0.013   0.009   0.097    -2.796   0.214    9.5765    6.2071   19.326    1.4105   0.002691794    1      0.989   0.989    50.3        524   4       0.624    19.311       19.826       0.5         
  smc1109   525   0.280925   0.171    0.073   0.012   0.012   0.07     -2.572   0.876    9.8551    6.9502   19.315    1.0139   0.0019312382   1      0.983   0.987    50.7        525   4       0.54     19.302       19.495       0.1800003   
  smc1115   503   0.365002   0.271    0.129   0.026   0.008   -0.003   -2.77    0.908    9.8029    7.2016   19.113    0.7071   0.0014057653   1      0.987   0.986    100.3       503   3       0.542    19.103       19.596       0.4829998   
  smc1116   526   0.348757   0.337    0.172   0.033   0.018   0.006    3.008    -0.523   9.2801    5.7426   19.208    0.8309   0.0015796578   1      0.984   0.986    114.1       526   4       0.641    19.196       19.663       0.45499992  
