# name                instrument feh0  e_feh0 feh1  e_feh1 feh                 e_feh source         shift  solar_scale  RA                 DEC                   type    ogleid   monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21  phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  V783_Cyg            CFHT       -1.19 0.18   -1.13 0.14   -1.16               0.11  Nemec2013      -0.094 Asplund2009  298.21973916666667 40.79318861111111     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  RR_Cet              McDonald   -1.62 0.15   -1.49 0.15   -1.49               0.15  Fernley1996    0.001  Grevesse1993 23.034054999999995 1.3417305555555554    RRab    NaN      RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486 0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66   
  V355_Lyr            CFHT       -1.13 0.14   -1.17 0.3    -1.14               0.17  Nemec2013      -0.094 Asplund2009  283.3579775        43.15456              RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J162158+0244.5 duPont     -1.83 0.18   -1.83 0.32   -1.8300000429153442 0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  KIC-11125706        CFHT       -1.09 0.13   -1.09 0.1    -1.09               0.08  Nemec2013      -0.094 Asplund2009  285.24490999999995 48.745085833333334    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V838_Cyg            CFHT       -1.02 0.19   -1.0  0.1    -1.01               0.1   Nemec2013      -0.094 Asplund2009  288.51625583333333 48.19960333333333     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V350_Lyr            Keck       -1.84 0.15   -1.81 0.14   -1.83               0.12  Nemec2013      -0.09  Asplund2009  282.2848433333333  46.19859527777778     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V1107_Cyg           Keck       -1.23 0.42   -1.31 0.18   -1.29               0.23  Nemec2013      -0.09  Asplund2009  289.9386575        47.10123166666667     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V368_Lyr            Keck       -1.33 0.31   -1.25 0.24   -1.28               0.2   Nemec2013      -0.09  Asplund2009  287.72251916666664 43.4152725            RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-9658012         Keck       -1.22 0.26   -1.31 0.12   -1.28               0.14  Nemec2013      -0.09  Asplund2009  295.3333529166666  46.39129138888889     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-9717032         Keck       -1.27 0.17   -1.26 0.17   -1.27               0.15  Nemec2013      -0.09  Asplund2009  294.57982333333325 46.46302583333333     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V715_Cyg            Keck       -1.13 0.12   -1.14 0.14   -1.13               0.09  Nemec2013      -0.09  Asplund2009  295.53334125       38.9117575            RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V782_Cyg            Keck       -0.4  0.15   -0.43 0.14   -0.42               0.1   Nemec2013      -0.09  Asplund2009  297.8208129166666  40.44588944444444     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  SW_And              Keck       0.19  0.14   0.21  0.09   0.2                 0.08  Nemec2013      -0.09  Asplund2009  5.929540416666667  29.40100888888889     RRab-BL NaN      SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784 0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62   
  BK_Eri              UVES-1     -1.87 0.21   -1.89 0.19   -1.8799999952316284 0.124 Pancino2015    -0.259 Grevesse1998 42.482718333333324 -1.4200294444444446   RRab    NaN      NaN       024956-0125.2 asas   024956-0125.2 1.0  1.0      139  0.548133 0.476  0.201 0.071 0.021 0.013 0.014 0.012 0.005  2.933 -0.909 0.066  0.205  0.875  9.2062 0.2499  5.359 0.905   12.122  0.011     0.3526 0.932 0.964  62.2   139  3     0.725  
  V839_Cyg            Keck       0.07  0.18   -0.09 0.14   -0.05               0.14  Nemec2013      -0.09  Asplund2009  290.0786883333333  47.13014027777778     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V784_Cyg            Keck       -0.05 0.15   -0.06 0.13   -0.05               0.1   Nemec2013      -0.09  Asplund2009  299.0954375        41.339840833333334    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V2178_Cyg           Keck       -1.63 0.24   -1.67 0.09   -1.66               0.13  Nemec2013      -0.09  Asplund2009  295.029025         38.972319166666665    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V450_Lyr            Keck       -1.52 0.13   -1.5  0.21   -1.51               0.12  Nemec2013      -0.09  Asplund2009  287.4026345833333  43.36387861111111     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V353_Lyr            Keck       -1.48 0.2    -1.5  0.35   -1.5                0.2   Nemec2013      -0.09  Asplund2009  283.0076658333333  45.30876083333333     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V360_Lyr            Keck       -1.46 0.37   -1.54 0.44   -1.5                0.29  Nemec2013      -0.09  Asplund2009  285.4943295833333  46.44601027777777     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V354_Lyr            Keck       -1.44 0.24   -1.44 0.2    -1.44               0.16  Nemec2013      -0.09  Asplund2009  283.2098158333333  41.56371              RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V1104_Cyg           Keck       -1.25 0.25   -1.21 0.15   -1.23               0.15  Nemec2013      -0.09  Asplund2009  289.50205041666663 50.75494722222222     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V808_Cyg            Keck       -1.2  0.27   -1.18 0.25   -1.19               0.18  Nemec2013      -0.09  Asplund2009  296.41260624999995 39.51485611111111     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V366_Lyr            Keck       -1.13 0.13   -1.19 0.1    -1.16               0.09  Nemec2013      -0.09  Asplund2009  287.4193283333333  46.28834472222222     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  UU_Cet              Keck       -1.34 0.14   -1.32 0.07   -1.33               0.08  Nemec2013      -0.09  Asplund2009  1.0213516666666667 -16.99765111111111    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               HARPS      -1.3  0.27   -1.37 0.04   -1.3350000381469727 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  DH_Hya              SARG-2     -1.55 0.16   -1.54 0.14   -1.5449999570846558 0.088 Pancino2015    -0.259 Grevesse1998 135.06178125       -9.778970277777779    RRab    NaN      NaN       090015-0946.7 asas   090015-0946.7 1.0  1.0      220  0.489003 0.863  0.267 0.126 0.101 0.005 0.005 0.005 -0.011 2.533 -1.084 0.017  0.038  0.046  8.8372 0.0509  5.231 0.067   11.735  0.003     0.1218 0.977 0.97   368.2  220  8     0.892  
  V445_Oph            Keck       0.15  0.14   0.11  0.13   0.13                0.1   Nemec2013      -0.09  Asplund2009  246.17173291666663 -6.541646111111111    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  RS_Boo              McDonald   -0.48 0.15   -0.33 0.15   -0.33               0.15  Fernley1996    0.001  Grevesse1993 218.38838958333332 31.754615             RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  AR_Per              McDonald   -0.24 0.15   -0.29 0.15   -0.29               0.15  Fernley1996    0.001  Grevesse1993 64.32165541666666  47.40017638888889     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TT_Lyn              McDonald   -1.64 0.15   -1.53 0.15   -1.53               0.15  Fernley1996    0.001  Grevesse1993 135.78244416666666 44.585589444444444    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  RR_Cet              Palomar    -1.32 0.16   -1.37 0.06   -1.345              0.1   Clementini1995 -0.138 Asplund2009  23.034054999999995 1.3417305555555554    RRab    NaN      RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486 0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66   
  V445_Oph            Palomar    0.24  0.16   0.16  0.17   0.2                 0.1   Clementini1995 -0.138 Asplund2009  246.17173291666663 -6.541646111111111    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J162158+0244.5 duPont     -1.77 0.25   -1.76 0.28   -1.7649999856948853 0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  UU_Cet              Palomar    -1.36 0.18   -1.35 0.16   -1.355              0.1   Clementini1995 -0.138 Asplund2009  1.0213516666666667 -16.99765111111111    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  DR_And              SARG-1     -1.4  0.19   -1.45 0.03   -1.4249999523162842 0.088 Pancino2015    -0.259 Grevesse1998 16.294641249999998 34.21841333333334     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TW_Boo              SARG-1     -1.49 0.12   -1.45 0.11   -1.4700000286102295 0.088 Pancino2015    -0.259 Grevesse1998 221.27477374999995 41.028927777777774    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  UZ_CVn              SARG-1     -2.05 0.22   -2.11 0.04   -2.0799999237060547 0.088 Pancino2015    -0.259 Grevesse1998 187.6154345833333  40.508896388888886    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               HARPS      -1.16 0.23   -1.14 0.18   -1.149999976158142  0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  AE_Dra              SARG-1     -1.51 0.18   -1.45 0.1    -1.4800000190734863 0.088 Pancino2015    -0.259 Grevesse1998 276.77810249999993 55.49243694444444     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  UY_Eri              SARG-1     -1.43 0.19   -1.48 0.07   -1.4549999237060547 0.088 Pancino2015    -0.259 Grevesse1998 48.413064166666665 -10.442335            CWb     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  DR_And              SARG-2     -1.53 0.17   -1.61 0.07   -1.5699999332427979 0.088 Pancino2015    -0.259 Grevesse1998 16.294641249999998 34.21841333333334     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TW_Boo              SARG-2     -1.39 0.14   -1.37 0.03   -1.3799999952316284 0.088 Pancino2015    -0.259 Grevesse1998 221.27477374999995 41.028927777777774    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  UZ_CVn              SARG-2     -2.22 0.12   -2.19 0.04   -2.2049999237060547 0.088 Pancino2015    -0.259 Grevesse1998 187.6154345833333  40.508896388888886    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  SW_And              Palomar    -0.05 0.11   0.0   0.13   -0.025              0.1   Clementini1995 -0.138 Asplund2009  5.929540416666667  29.40100888888889     RRab-BL NaN      SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784 0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62   
  BK_Eri              UVES-3     -1.51 0.15   -1.57 0.15   -1.5399999618530273 0.124 Pancino2015    -0.259 Grevesse1998 42.482718333333324 -1.4200294444444446   RRab    NaN      NaN       024956-0125.2 asas   024956-0125.2 1.0  1.0      139  0.548133 0.476  0.201 0.071 0.021 0.013 0.014 0.012 0.005  2.933 -0.909 0.066  0.205  0.875  9.2062 0.2499  5.359 0.905   12.122  0.011     0.3526 0.932 0.964  62.2   139  3     0.725  
  AE_Dra              SARG-2     -1.44 0.15   -1.42 0.12   -1.4300000667572021 0.088 Pancino2015    -0.259 Grevesse1998 276.77810249999993 55.49243694444444     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  DR_And              SARG-3     -1.29 0.12   -1.33 0.13   -1.309999942779541  0.088 Pancino2015    -0.259 Grevesse1998 16.294641249999998 34.21841333333334     RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TW_Boo              SARG-3     -1.49 0.11   -1.49 0.33   -1.4900000095367432 0.088 Pancino2015    -0.259 Grevesse1998 221.27477374999995 41.028927777777774    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  UZ_CVn              SARG-3     -2.3  0.15   -2.27 0.11   -2.2849998474121094 0.088 Pancino2015    -0.259 Grevesse1998 187.6154345833333  40.508896388888886    RRab    NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TW_Cap              UVES-1     -1.63 0.1    -1.68 0.07   -1.6549999713897705 0.124 Pancino2015    -0.259 Grevesse1998 303.6183995833333  -13.83552388888889    CWa     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V716_Oph            UVES-1     -1.87 0.08   -1.87 0.07   -1.8700000047683716 0.124 Pancino2015    -0.259 Grevesse1998 247.70610624999998 -5.505436111111111    CWb     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-3868420         CFHT       -0.35 0.14   -0.29 0.08   -0.31               0.08  Nemec2013      -0.094 Asplund2009  295.8599066666666  38.920226944444444    HADS?   NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-8832417         CFHT       -0.22 0.19   -0.29 0.09   -0.27               0.11  Nemec2013      -0.094 Asplund2009  296.7263129166666  45.08064138888889     RRc     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               FEROS      -1.3  0.12   -1.33 0.11   -1.315000057220459  0.194 Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  KIC-4064484         Keck       -1.65 0.22   -1.54 0.12   -1.58               0.13  Nemec2013      -0.09  Asplund2009  293.439535         39.12054972222222     RRc     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  KIC-5520878         Keck       -0.18 0.18   -0.19 0.12   -0.18               0.1   Nemec2013      -0.09  Asplund2009  287.59823916666664 40.76792694444444     RRc     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
