# name     type    instrument  feh   e_feh source         shift  RA                 DEC                  monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21   phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  BS_Aqr   HADS?   APO         -0.27 0.271 Andrievsky2018 -0.039 357.1917320833333  -8.145712777777778   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  CI_And   RRab    Subaru      -0.43 0.04  Liu2013        -0.19  28.78455708333333  43.76569194444444    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  CN_Lyr   RRab    Subaru      -0.04 0.04  Liu2013        -0.19  280.3164395833333  28.72255             NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  DH_Peg   RRc     Subaru      -1.13 0.04  Liu2013        -0.19  333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DH_Peg   RRc     APO         -1.33 0.271 Andrievsky2018 -0.039 333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DH_Peg   RRc     APO         -1.63 0.271 Andrievsky2018 -0.039 333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DH_Peg   RRc     Subaru      -1.14 0.04  Liu2013        -0.19  333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DH_Peg   RRc     Palomar     -1.31 0.1   Lambert1996    -0.024 333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DH_Peg   RRc     Subaru      -1.02 0.04  Liu2013        -0.19  333.85683333333327 6.822622222222222    DHPeg     221526+0649.4 monson DHPeg         1.0  ""       366  0.255516 0.308  0.151 0.03  0.01  0.001 0.001 0.001 0.003  3.209 -0.216 0.005  0.025  0.079  9.4856  0.0271  6.058 0.081   9.111   0.001     0.0531 0.988 0.669  352.3  366  5     0.382 
  DM_Cyg   RRab    Subaru      0.03  0.04  Liu2013        -0.19  320.29809041666664 32.19130722222222    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  DO_Vir   RRab    Subaru      -1.57 0.04  Liu2013        -0.19  219.6916304166666  -5.325387777777777   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  DX_Del   RRab    APO         -0.2  0.271 Andrievsky2018 -0.039 311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    Subaru      -0.13 0.04  Liu2013        -0.19  311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    APO         -0.39 0.271 Andrievsky2018 -0.039 311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    Subaru      -0.13 0.04  Liu2013        -0.19  311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    Palomar     -0.5  0.1   Lambert1996    -0.024 311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    APO         -0.36 0.271 Andrievsky2018 -0.039 311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    APO         -0.66 0.271 Andrievsky2018 -0.039 311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  DX_Del   RRab    Subaru      -0.15 0.04  Liu2013        -0.19  311.8681483333333  12.464078333333333   DXDel     204729+1227.8 monson DXDel         1.0  1.0      530  0.472619 0.44   0.161 0.08  0.041 0.001 0.001 0.001 -0.0   3.091 0.086  0.007  0.015  0.026  9.375   0.0215  6.37  0.034   9.374   0.001     0.0332 0.975 0.813  908.7  530  8     0.481 
  HR_Leo   EB      Palomar     -1.39 0.1   Lambert1996    -0.024 166.1762295833333  -2.9722150000000003  NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  IO_Lyr   RRab    Subaru      -1.35 0.04  Liu2013        -0.19  275.6583141666666  32.95905611111112    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  KX_Lyr   RRab    APO         -0.33 0.271 Andrievsky2018 -0.039 278.3134191666666  40.17299611111111    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  KX_Lyr   RRab    Subaru      -0.27 0.04  Liu2013        -0.19  278.3134191666666  40.17299611111111    NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RR_Cet   RRab    Subaru      -1.35 0.04  Liu2013        -0.19  23.034054999999995 1.3417305555555554   RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486  0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66  
  RR_Cet   RRab    APO         -1.36 0.271 Andrievsky2018 -0.039 23.034054999999995 1.3417305555555554   RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486  0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66  
  RR_Cet   RRab    APO         -1.73 0.271 Andrievsky2018 -0.039 23.034054999999995 1.3417305555555554   RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486  0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66  
  RR_Gem   RRab-BL APO         -0.58 0.271 Andrievsky2018 -0.039 110.38971208333331 30.88318472222222    RRGem     NaN           kbs    RR_Gem        1.0  1.0      3000 0.397288 0.739  0.237 0.138 0.082 0.001 0.001 0.001 0.002  2.798 -0.517 0.002  0.004  0.007  9.076   0.0065  5.759 0.011   1.078   0.0       0.4562 0.997 0.997  2596.8 3000 8     0.812 
  RR_Gem   RRab-BL APO         -0.26 0.271 Andrievsky2018 -0.039 110.38971208333331 30.88318472222222    RRGem     NaN           kbs    RR_Gem        1.0  1.0      3000 0.397288 0.739  0.237 0.138 0.082 0.001 0.001 0.001 0.002  2.798 -0.517 0.002  0.004  0.007  9.076   0.0065  5.759 0.011   1.078   0.0       0.4562 0.997 0.997  2596.8 3000 8     0.812 
  RR_Gem   RRab-BL APO         -0.37 0.271 Andrievsky2018 -0.039 110.38971208333331 30.88318472222222    RRGem     NaN           kbs    RR_Gem        1.0  1.0      3000 0.397288 0.739  0.237 0.138 0.082 0.001 0.001 0.001 0.002  2.798 -0.517 0.002  0.004  0.007  9.076   0.0065  5.759 0.011   1.078   0.0       0.4562 0.997 0.997  2596.8 3000 8     0.812 
  RR_Leo   RRab    APO         -1.31 0.271 Andrievsky2018 -0.039 151.931085         23.991756111111112   RRLeo     100744+2359.5 monson RRLeo         1.0  1.0      506  0.452402 0.879  0.289 0.138 0.106 0.002 0.002 0.002 0.007  2.548 -0.939 0.008  0.018  0.022  8.8173  0.0256  5.324 0.033   10.306  0.002     0.1538 0.938 0.725  779.4  506  8     0.905 
  RR_Lyr   RRab-BL Subaru      -1.4  0.04  Liu2013        -0.19  291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL APO         -1.44 0.271 Andrievsky2018 -0.039 291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL APO         -1.48 0.271 Andrievsky2018 -0.039 291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL Subaru      -1.31 0.04  Liu2013        -0.19  291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL APO         -1.58 0.271 Andrievsky2018 -0.039 291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL Subaru      -1.41 0.04  Liu2013        -0.19  291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL Subaru      -1.39 0.04  Liu2013        -0.19  291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL APO         -1.52 0.271 Andrievsky2018 -0.039 291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RR_Lyr   RRab-BL Subaru      -1.42 0.04  Liu2013        -0.19  291.36630125       42.78435833333333    RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607  0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738 
  RS_Boo   RRab    APO         -0.5  0.271 Andrievsky2018 -0.039 218.38838958333332 31.754615            NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RS_Boo   RRab    APO         -0.21 0.271 Andrievsky2018 -0.039 218.38838958333332 31.754615            NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RS_Boo   RRab    Palomargcvs -0.61 0.1   Lambert1996    -0.024 218.38838958333332 31.754615            NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RS_Boo   RRab    Subaru      -0.12 0.04  Liu2013        -0.19  218.38838958333332 31.754615            NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RU_Psc   RRc     APO         -1.64 0.271 Andrievsky2018 -0.039 18.60848833333333  24.415658055555554   NaN       011426+2425.0 asas   011426+2425.0 0.0  ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RU_Psc   RRc     APO         -2.05 0.271 Andrievsky2018 -0.039 18.60848833333333  24.415658055555554   NaN       011426+2425.0 asas   011426+2425.0 0.0  ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  RV_UMa   RRab-BL APO         -1.41 0.271 Andrievsky2018 -0.039 203.32534958333332 53.98738888888889    RVUMa     NaN           monson RVUMa         1.0  1.0      333  0.46806  0.565  0.261 0.091 0.032 0.002 0.002 0.002 0.003  2.504 -1.165 0.006  0.019  0.051  8.7805  0.0232  5.108 0.056   10.365  0.001     0.2806 0.963 0.834  235.3  333  7     0.723 
  RV_UMa   RRab-BL APO         -1.2  0.271 Andrievsky2018 -0.039 203.32534958333332 53.98738888888889    RVUMa     NaN           monson RVUMa         1.0  1.0      333  0.46806  0.565  0.261 0.091 0.032 0.002 0.002 0.002 0.003  2.504 -1.165 0.006  0.019  0.051  8.7805  0.0232  5.108 0.056   10.365  0.001     0.2806 0.963 0.834  235.3  333  7     0.723 
  RX_Eri   RRab    APO         -1.18 0.271 Andrievsky2018 -0.039 72.43454791666666  -15.741178055555554  RXEri     044944-1544.5 monson RXEri         1.0  1.0      627  0.587245 0.578  0.189 0.1   0.067 0.001 0.001 0.001 0.0    2.901 -0.308 0.006  0.012  0.018  9.1828  0.0168  5.974 0.025   9.13    0.001     0.042  0.95  0.802  1237.7 627  8     0.594 
  RZ_Cep   RRc-BL  APO         -2.11 0.271 Andrievsky2018 -0.039 339.8049020833333  64.8585025           RZCep     NaN           monson RZCep         1.0  ""       484  0.308714 0.342  0.167 0.041 0.018 0.001 0.001 0.001 0.009  3.106 -0.577 0.004  0.017  0.037  9.3705  0.019   5.679 0.036   8.755   0.0       0.0285 0.943 0.684  733.8  484  5     0.384 
  RZ_Cep   RRc-BL  APO         -2.43 0.271 Andrievsky2018 -0.039 339.8049020833333  64.8585025           RZCep     NaN           monson RZCep         1.0  ""       484  0.308714 0.342  0.167 0.041 0.018 0.001 0.001 0.001 0.009  3.106 -0.577 0.004  0.017  0.037  9.3705  0.019   5.679 0.036   8.755   0.0       0.0285 0.943 0.684  733.8  484  5     0.384 
  RZ_Cep   RRc-BL  APO         -2.52 0.271 Andrievsky2018 -0.039 339.8049020833333  64.8585025           RZCep     NaN           monson RZCep         1.0  ""       484  0.308714 0.342  0.167 0.041 0.018 0.001 0.001 0.001 0.009  3.106 -0.577 0.004  0.017  0.037  9.3705  0.019   5.679 0.036   8.755   0.0       0.0285 0.943 0.684  733.8  484  5     0.384 
  ST_Boo   RRab-BL APO         -1.61 0.271 Andrievsky2018 -0.039 232.66345874999996 35.784531666666666   STBoo     NaN           monson STBoo         1.0  2.0      252  0.622291 0.674  0.243 0.126 0.056 0.002 0.002 0.002 -0.0   2.699 -0.532 0.006  0.013  0.028  8.9821  0.0186  5.752 0.036   10.504  0.001     0.0376 0.952 0.614  618.6  252  6     0.726 
  SU_Dra   RRab    Palomar     -1.74 0.1   Lambert1996    -0.024 174.48586291666666 67.32973888888888    SUDra     NaN           monson SUDra         1.0  2.0      658  0.66042  0.656  0.213 0.114 0.077 0.001 0.002 0.001 0.009  2.861 -0.444 0.007  0.013  0.019  9.1258  0.0193  5.811 0.028   9.3     0.001     0.046  0.973 0.855  1380.9 658  8     0.73  
  SV_Eri   RRab    Palomar     -2.1  0.1   Lambert1996    -0.024 47.96711458333332  -11.353907222222222  SVEri     NaN           monson SVEri         0.0  2.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  SW_And   RRab-BL Palomar     -0.32 0.1   Lambert1996    -0.024 5.929540416666667  29.40100888888889    SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784  0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62  
  SW_And   RRab-BL APO         -0.38 0.271 Andrievsky2018 -0.039 5.929540416666667  29.40100888888889    SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784  0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62  
  SW_And   RRab-BL Subaru      -0.07 0.04  Liu2013        -0.19  5.929540416666667  29.40100888888889    SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784  0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62  
  SW_Dra   RRab    APO         -1.02 0.271 Andrievsky2018 -0.039 184.4442858333333  69.51062055555556    SWDra     NaN           monson SWDra         1.0  1.0      265  0.56967  0.628  0.204 0.103 0.071 0.003 0.003 0.002 0.002  2.892 -0.345 0.009  0.023  0.037  9.1714  0.0228  5.932 0.049   9.991   0.002     0.0157 0.898 0.736  938.1  265  8     0.603 
  SW_Dra   RRab    APO         -1.17 0.271 Andrievsky2018 -0.039 184.4442858333333  69.51062055555556    SWDra     NaN           monson SWDra         1.0  1.0      265  0.56967  0.628  0.204 0.103 0.071 0.003 0.003 0.002 0.002  2.892 -0.345 0.009  0.023  0.037  9.1714  0.0228  5.932 0.049   9.991   0.002     0.0157 0.898 0.736  938.1  265  8     0.603 
  TT_Lyn   RRab    APO         -1.59 0.271 Andrievsky2018 -0.039 135.78244416666666 44.585589444444444   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  TT_Lyn   RRab    APO         -1.31 0.271 Andrievsky2018 -0.039 135.78244416666666 44.585589444444444   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  TT_Lyn   RRab    Palomar     -1.54 0.1   Lambert1996    -0.024 135.78244416666666 44.585589444444444   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  TU_UMa   RRab    APO         -1.58 0.271 Andrievsky2018 -0.039 172.45203999999995 30.067327777777777   TUUMa     NaN           monson TUUMa         1.0  1.0      368  0.557659 0.617  0.202 0.103 0.075 0.003 0.002 0.002 -0.0   2.705 -0.606 0.01   0.029  0.04   8.9884  0.0398  5.678 0.045   9.332   0.002     0.0444 0.902 0.827  748.4  368  8     0.633 
